Batch,Seq,Original VM Name *,Original front end IP *,Original backend IP *,Original # of vCPU,Original # of Memory (GB),Original Disk Type,Original System Disk Size (GB),Original Data Disk Size (GB),Original Additional Data Disk (GB),Original Guest OS Version,Original # of NIC,Original Environment (Production/Testing),Original Security Zone,Original Site,Require Backup?,Require VM Replication?,Migration Approach,New VM Name,Functional tag,Plan,OS,Environment,Network Segment,Disk Type,System Disk Size (GB),Additional Data Disk Size (GB),Shared Disk Name,Backup Start Time,Require Backup,Retention Period,Require Offsite Backup,Require Antivirus,Require VM Replication,Require GCIS Common Service,VM Name,PNAT IP,PNAT Port,SNAT IP for Internet DMZ/ GNET DMZ/ Trusted Zone,SNAT IP for NOT connecting to GCIS Common Services,Virtual Machine IP,Virtual IP (VIP),Datastore Name,ESXi Host,Network Segement Name,"GNET IP Assignment 
(Only for GNET Zone)","Internet IP Assignment 
(Only for Internet Zone)",User Login,Password,
Batch 3,17,EID-WCUL-MONGO11,10.104.37.237,N/A,2,8,Tier 3,60,30,50,Oracle Linux7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,bulmng11,ulmng11,M,Oracle Linux7.6,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,30+50,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulmng11-01,172.21.10.135,35232,,,192.168.8.237,,,,,,,,,
Batch 3,18,EID-WCUL-RKTMQ03,10.104.37.143,N/A,2,8,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulrmq03,ulrmq01,M,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulrmq03-01,172.21.10.135,35138,,,192.168.8.143,,,,,,,,,
Batch 3,19,EID-WCUL-RKTMQ13,"10.104.37.15
10.104.37.17",N/A,2,8,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulrmq13,ulrmq11,M,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulrmq13-01,172.21.10.135,35010,,,"192.168.8.15
192.168.8.17",,,,,,,,,
Batch 3,20,EID-WCUL-FDCKS11,10.104.37.18,N/A,4,16,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulfdc11,ulfdc11,L,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulfdc11-01,172.21.10.135,35013,,,192.168.8.18,,,,,,,,,
Batch 3,21,EID-WCUL-FDCKS12,10.104.37.19,N/A,4,16,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulfdc12,ulfdc11,L,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulfdc12-01,172.21.10.135,35014,,,192.168.8.19,,,,,,,,,
Batch 3,22,EID-WCUL-CAAS11,10.104.37.33,N/A,4,16,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulcdm11,ulcdm11,L,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulcdm11-01,172.21.10.135,35028,,,192.168.8.33,192.168.8.51,,,,,,,,
Batch 3,23,EID-WCUL-CAAS12,10.104.37.34,N/A,4,16,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulcdm12,ulcdm11,L,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulcdm12-01,172.21.10.135,35029,,,192.168.8.34,192.168.8.51,,,,,,,,
Batch 3,24,EID-WCUL-CAAS13,10.104.37.35,N/A,4,16,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulcdm13,ulcdm11,L,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulcdm13-01,172.21.10.135,35030,,,192.168.8.35,192.168.8.51,,,,,,,,
Batch 3,25,EID-WCUL-CASDR11,10.104.37.36,N/A,4,16,Tier 3,40,512,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulcdr11,ulcdr11,L,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,512,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulcdr11-01,172.21.10.135,35031,,,192.168.8.36,192.168.8.52,,,,,,,,
Batch 3,26,EID-WCUL-CASDR12,10.104.37.37,N/A,4,16,Tier 3,40,512,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bulcdr12,ulcdr11,L,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,512,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulcdr12-01,172.21.10.135,35032,,,192.168.8.37,192.168.8.52,,,,,,,,
Batch 3,27,EID-WCPL-FTP11,10.104.39.45,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,500,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Clone from VM bcentos ,bplftp11,plftp11,M,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,500,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bplftp11-01,172.21.10.135,35528,,,192.168.10.45,,,,,,,,,
Batch 3,28,EID-WCPL-DNS11,10.104.39.46,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,100,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,bpldns11,pldns11,M,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50+100,N/A,N/A,No,N/A,N/A,No,No,Yes,p2vias-ogciams-bpldns11-01,172.21.10.135,35529,,,192.168.10.46,,,,,,,,,
Batch 3,29,EID-WCPL-PROXY11,10.104.0.99,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,0,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,bplpxy11,plpxy11,M,CentOS7.8,P2,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bplpxy11-01,172.21.10.135,33094,,,192.168.2.99,,,,,,202.128.231.212,,,·ÃÎÊ»¥ÁªÍø
Batch 3,30,EID-WCSL-RVPXY01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM bcentos ,bplpfw11,ppfw11,M,CentOS 7.8,P2,GNET DMZone,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bplpfw11-01,172.21.10.135,34068,,,192.168.6.73,,,,,10.160.136.249,,,,
Batch 3,31,EID-WCSL-RVPXY01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM bcentos,bulasb11,uasb11,M,CentOS 7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,01:00 - 02:00,Yes,30 Days,No,No,No,No,p2vias-ogciams-bulasb11-01,172.21.10.135,35243,,,192.168.8.248,,,,,,,,,
Batch 3,32,EID-WCSL-RVPXY01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM bcentos ,bulrmq04,ulrmq01,M,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulrmq04-01,172.21.10.135,35140,,,192.168.8.145,,,,,,,,,
Batch 3,33,EID-WCSL-RVPXY01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM bcentos,bulrmq14,ulrmq11,M,CentOS7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bulrmq14-01,172.21.10.135,35054,,,192.168.8.59,,,,,,,,,
Batch 3,34,EID-WCSL-RVPXY01,10.104.0.38,N/A,1,4,Tier 3,40,50,,CentOS 7.8,1,Production,Internet DMZone,WCDC,No,No,Replication,bcentos,ost01,S,CentOS 7.8,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-bcentos-01,172.21.10.135,35241,,,192.168.8.246,,,,,,,,,
Batch 3,35,EID-WCSL-MYSQL01,10.104.37.166,N/A,2,8,Tier 3,60,100,10+32,Oracle Linux 7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,borlinux,ost02,S,Oracle Linux 7.6,P2,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,0,N/A,N/A,No,N/A,N/A,No,No,No,p2vias-ogciams-borlinux-01,172.21.10.135,35242,,,192.168.8.247,,,,,,,,,
Batch 3A,36,EID-WCSL-RVPXY01,10.104.0.38,N/A,1,4,Tier 3,40,50,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,aslrxy01,slrxy01,S,CentOS7.8,P1,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslrxy01-01,172.17.10.135,33033,,,192.168.0.38,,,,,,,,,»¥ÁªÍøÈë¿Ú
Batch 3A,37,EID-WCUL-SMTP01,10.104.16.41,N/A,1,4,Tier 3,40,0,N/A,CentOS7.8,1,Production,GNET DMZone,WCDC,No,No,Replication,aulsmt01,ulsmt01,S,CentOS7.8,P1,GNET DMZone,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulsmt01-01,172.17.10.135,34036,,,192.168.4.41,,,,,,,,,·ÃÎÊsmtpx.cis.hksarg
Batch 3A,38,EID-WCSL-RVPXY11,"10.104.37.197
10.104.37.198",N/A,1,4,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aslrxy11,slrxy11,S,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslrxy11-01,172.17.10.135,35192,,,"192.168.12.197
192.168.12.198",,,,,,,,,
Batch 3A,39,EID-WCSL-MYSQL01,10.104.37.166,N/A,2,8,Tier 3,60,100,10+32,Oracle Linux7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,aslmsq01,slmsq01,M,Oracle Linux7.6,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,100+10+32,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslmsq01-01,172.17.10.135,35161,,,192.168.12.166,,,,,,,,,
Batch 3A,40,EID-WCSL-MYSQL11,10.104.37.230,N/A,4,16,Tier 3,60,100,10+32,Oracle Linux7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,aslmsq11,slmsq11,L,Oracle Linux7.6,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,100+10+32,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslmsq11-01,172.17.10.135,35225,,,192.168.12.230,,,,,,,,,
Batch 3A,41,EID-WCUL-REDIS15,10.104.37.234,N/A,4,16,Tier 3,60,100,32+32+10,Oracle Linux7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,aulrds15,ulrds15,L,Oracle Linux7.6,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,100+32+32+10,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulrds15-01,172.17.10.135,35229,,,192.168.12.234,,,,,,,,,
Batch 3A,42,EID-WCUL-MONGO11,10.104.37.237,N/A,2,8,Tier 3,60,30,50,Oracle Linux7.6,1,Production,Trusted Zone,WCDC,No,No,Replication,aulmng11,ulmng11,M,Oracle Linux7.6,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),60,30+50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulmng11-01,172.17.10.135,35232,,,192.168.12.237,,,,,,,,,
Batch 3A,43,EID-WCSL-CONTR01,10.104.37.134,N/A,4,16,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aslctr01,slctr01,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslctr01-01,172.17.10.135,35129,,,192.168.12.134,,,,,,,,,
Batch 3A,44,EID-WCSL-CONTR02,10.104.37.135,N/A,4,16,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aslctr02,slctr01,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslctr02-01,172.17.10.135,35130,,,192.168.12.135,,,,,,,,,
Batch 3A,45,EID-WCUL-RKTMQ03,10.104.37.143,N/A,2,8,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulrmq03,ulrmq01,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulrmq03-01,172.17.10.135,35137,,,192.168.12.143,,,,,,,,,
Batch 3A,46,EID-WCSL-CONTR11,10.104.37.7,N/A,4,16,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aslctr11,slctr11,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslctr11-01,172.17.10.135,35002,,,192.168.12.7,,,,,,,,,
Batch 3A,47,EID-WCSL-CONTR12,10.104.37.8,N/A,4,16,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aslctr12,slctr11,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aslctr12-01,172.17.10.135,35003,,,192.168.12.8,,,,,,,,,
Batch 3A,48,EID-WCUL-RKTMQ13,"10.104.37.15
10.104.37.17",N/A,2,8,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulrmq13,ulrmq11,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulrmq13-01,172.17.10.135,35010,,,192.168.12.15,,,,,,,,,
Batch 3A,49,EID-WCUL-FDCKS11,10.104.37.18,N/A,4,16,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulfdc11,ulfdc11,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulfdc11-01,172.17.10.135,35013,,,192.168.12.18,192.168.12.48,,,,,,,,
Batch 3A,50,EID-WCUL-FDCKS12,10.104.37.19,N/A,4,16,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulfdc12,ulfdc11,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulfdc12-01,172.17.10.135,35014,,,192.168.12.19,192.168.12.48,,,,,,,,
Batch 3A,51,EID-WCUL-CASLB11,10.104.37.26,N/A,2,8,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulclb11,ulslb13,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulclb11-01,172.17.10.135,35021,,,192.168.12.26,"192.168.12.50
192.168.12.51
192.168.12.52",,,,,,,,
Batch 3A,52,EID-WCUL-CASLB12,10.104.37.27,N/A,2,8,Tier 3,40,50,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulclb12,ulslb13,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulclb12-01,172.17.10.135,35022,,,192.168.12.27,"192.168.12.50
192.168.12.51
192.168.12.52",,,,,,,,
Batch 3A,53,EID-WCUL-CMPMS11,10.104.37.28,N/A,2,8,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcmp11,ulcmp11,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcmp11-01,172.17.10.135,35023,,,192.168.12.28,192.168.12.50,,,,,,,,
Batch 3A,54,EID-WCUL-CMPMS12,10.104.37.29,N/A,2,8,Tier 3,40,100,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcmp12,ulcmp11,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,100,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcmp12-01,172.17.10.135,35024,,,192.168.12.29,192.168.12.50,,,,,,,,
Batch 3A,55,EID-WCUL-CMPMS13,10.104.37.30,N/A,4,16,Tier 3,40,200,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcmp13,ulcmp11,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,200,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcmp13-01,172.17.10.135,35025,,,192.168.12.30,,,,,,,,,
Batch 3A,56,EID-WCUL-CMPMS14,10.104.37.31,N/A,4,16,Tier 3,40,200,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcmp14,ulcmp11,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,200,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcmp14-01,172.17.10.135,35026,,,192.168.12.31,,,,,,,,,
Batch 3A,57,EID-WCUL-CMPMS15,10.104.37.32,N/A,4,16,Tier 3,40,200,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcmp15,ulcmp11,L,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,200,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcmp15-01,172.17.10.135,35027,,,192.168.12.32,,,,,,,,,
Batch 3A,58,EID-WCUL-CASDR11,10.104.37.36,N/A,4,16,Tier 3,40,512,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcdr11,ulcdr11,L,CentOS7.8,P1,Trusted Zone,Tier-three (NL-SAS HDD),40,512,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcdr11-01,172.17.10.135,35031,,,192.168.12.36,192.168.12.52,,,,,,,,
Batch 3A,59,EID-WCUL-CASDR12,10.104.37.37,N/A,4,16,Tier 3,40,512,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,aulcdr12,ulcdr11,L,CentOS7.8,P1,Trusted Zone,Tier-three (NL-SAS HDD),40,512,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulcdr12-01,172.17.10.135,35032,,,192.168.12.37,192.168.12.52,,,,,,,,
Batch 3A,60,EID-WCPL-FTP11,10.104.39.45,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,500,N/A,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Clone from VM centos,aplftp11,plftp11,M,CentOS7.8,P1,Trusted Zone,Tier-three (NL-SAS HDD),40,500,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aplftp11-01,172.17.10.135,35528,,,192.168.14.45,,,,,,,,,
Batch 3A,61,EID-WCPL-DNS11,10.104.39.46,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,50,100,CentOS7.8,1,Production,Trusted Zone,WCDC,No,No,Replication,apldns11,pldns11,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50+100,N/A,N/A,No,N/A,N/A,No,No,Yes,p1vias-ogciams-apldns11-01,172.17.10.135,35529,,,192.168.14.46,,,,,,,,,
Batch 3A,62,EID-WCPL-PROXY11,10.104.0.99,N/A,2,8,Tier-two (SAS HDD with SSD cache),40,0,N/A,CentOS7.8,1,Production,Internet DMZ,WCDC,No,No,Replication,aplpxy11,plpxy11,M,CentOS7.8,P1,Internet DMZ,Tier-two (SAS HDD with SSD cache),40,0,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aplpxy11-01,172.17.10.135,33094,,,192.168.0.99,,,,,,,,,·ÃÎÊ»¥ÁªÍø
Batch 3A,63,EID-WCSL-RVPXY01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM centos,aulrmq04,ulrmq01,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulrmq04-01,172.17.10.135,35140,,,192.168.12.145,,,,,,,,,
Batch 3A,64,EID-WCSL-RVPXY01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clone from VM centos,aulrmq14,ulrmq11,M,CentOS7.8,P1,Trusted Zone,Tier-two (SAS HDD with SSD cache),40,50,N/A,N/A,No,N/A,N/A,No,No,No,p1vias-ogciams-aulrmq14-01,172.17.10.135,35054,,,192.168.12.59,,,,,,,,,
